Wochentag,Datum,InfektionenKumuliert,Infektionen7Tage,Inzidenz7Tage,Bevölkerungsstand
Do,3/12/2020,97,,,1899160
Fr,3/13/2020,123,,,
Sa,3/14/2020,152,,,
So,3/15/2020,196,,,
Mo,3/16/2020,257,,,
Di,3/17/2020,312,,,
Mi,3/18/2020,414,,,
Do,3/19/2020,506,409,"21,5",
Fr,3/20/2020,664,541,"28,5",
Sa,3/21/2020,768,616,"32,4",
So,3/22/2020,887,691,"36,4",
Mo,3/23/2020,989,732,"38,5",
Di,3/24/2020,1237,925,"48,7",
Mi,3/25/2020,1450,1036,"54,6",
Do,3/26/2020,1628,1122,"59,1",
Fr,3/27/2020,1759,1095,"57,7",
Sa,3/28/2020,1935,1167,"61,4",
So,3/29/2020,2078,1191,"62,7",
Mo,3/30/2020,2214,1225,"64,5",
Di,3/31/2020,2290,1053,"55,4",
Mi,4/1/2020,2437,987,"52,0",
Do,4/2/2020,2557,929,"48,9",
Fr,4/3/2020,2739,980,"51,6",
Sa,4/4/2020,2882,947,"49,9",
So,4/5/2020,3019,941,"49,5",
Mo,4/6/2020,3088,874,"46,0",
Di,4/7/2020,3217,927,"48,8",
Mi,4/8/2020,3370,933,"49,1",
Do,4/9/2020,3518,961,"50,6",
Fr,4/10/2020,3642,903,"47,5",
Sa,4/11/2020,3739,857,"45,1",
So,4/12/2020,3817,798,"42,0",
Mo,4/13/2020,3887,799,"42,1",
Di,4/14/2020,3925,708,"37,3",
Mi,4/15/2020,3978,608,"32,0",
Do,4/16/2020,4064,546,"28,7",
Fr,4/17/2020,4195,553,"29,1",
Sa,4/18/2020,4297,558,"29,4",
So,4/19/2020,4347,530,"27,9",
Mo,4/20/2020,4368,481,"25,3",
Di,4/21/2020,4401,476,"25,1",
Mi,4/22/2020,4449,471,"24,8",
Do,4/23/2020,4511,447,"23,5",
Fr,4/24/2020,4558,363,"19,1",
Sa,4/25/2020,4589,292,"15,4",
So,4/26/2020,4636,289,"15,2",
Mo,4/27/2020,4658,290,"15,3",
Di,4/28/2020,4682,281,"14,8",
Mi,4/29/2020,4724,275,"14,5",
Do,4/30/2020,4801,290,"15,3",
Fr,5/1/2020,4820,262,"13,8",
Sa,5/2/2020,4831,242,"12,7",
So,5/3/2020,4834,198,"10,4",
