Datum;TemperaturBillbrook;TemperaturFinkenwerder;TemperaturMarckmannstraße

01.01.2020;0.6;-0.1;1.3
02.01.2020;-0.6;-0.3;-0.1
03.01.2020;5.9;5.9;6.3
04.01.2020;4.7;4.8;5.3
05.01.2020;4.1;3.9;4.7
06.01.2020;5.2;5.1;5.5
07.01.2020;5.3;5.4;5.7
08.01.2020;8.5;8.4;8.8
09.01.2020;9.3;9.6;9.6
10.01.2020;8.2;8.2;8.4
11.01.2020;4.7;4.3;5.0
12.01.2020;6.3;6.2;6.5
13.01.2020;5.9;5.7;6.2
14.01.2020;8.8;9.2;9.0
15.01.2020;11.7;11.5;11.9
16.01.2020;6.3;6.1;6.8
17.01.2020;7.3;8.3;7.6
18.01.2020;5.2;4.8;5.4
19.01.2020;4.1;3.4;4.6
20.01.2020;5.2;4.3;5.5
21.01.2020;4.3;4.0;4.6
22.01.2020;6.0;5.9;6.3
23.01.2020;5.6;5.2;5.9
24.01.2020;1.5;1.3;1.8
25.01.2020;2.6;2.5;2.9
26.01.2020;1.4;1.7;1.6
27.01.2020;5.3;6.2;5.5
28.01.2020;4.7;5.0;5.1
29.01.2020;3.9;3.9;4.2
30.01.2020;6.7;6.7;6.9
31.01.2020;9.7;9.9;9.9
01.02.2020;10.6;10.6;10.7
02.02.2020;6.5;6.6;6.9
03.02.2020;7.1;7.2;7.5
04.02.2020;5.0;4.8;5.3
05.02.2020;3.6;3.2;3.9
06.02.2020;5.4;5.3;5.9
07.02.2020;5.5;5.5;5.7
08.02.2020;5.0;5.5;5.3
09.02.2020;9.3;9.6;9.6
10.02.2020;6.4;6.4;6.6
11.02.2020;3.8;3.8;4.0
12.02.2020;3.7;3.7;4.0
13.02.2020;2.6;2.8;2.9
14.02.2020;4.1;4.3;4.5
15.02.2020;7.7;8.2;8.0
16.02.2020;12.4;12.5;12.4
17.02.2020;8.0;7.9;8.1
18.02.2020;6.6;6.5;6.7
19.02.2020;5.5;5.4;5.8
20.02.2020;5.5;5.9;5.9
21.02.2020;5.9;5.9;6.2
22.02.2020;7.8;7.9;8.0
23.02.2020;5.3;5.4;5.7
24.02.2020;4.8;5.0;5.2
25.02.2020;6.4;6.3;6.6
26.02.2020;3.5;3.0;3.7
27.02.2020;3.5;3.3;3.8
28.02.2020;4.5;4.2;4.6
29.02.2020;7.0;7.3;7.1
01.03.2020;5.8;6.0;6.3
02.03.2020;6.4;6.6;6.7
03.03.2020;5.8;5.6;6.0
04.03.2020;4.8;4.1;5.0
05.03.2020;5.5;5.6;5.6
06.03.2020;4.5;4.8;4.6
07.03.2020;4.7;5.0;5.0
08.03.2020;8.0;8.4;8.3
09.03.2020;8.0;7.6;8.2
10.03.2020;7.9;8.1;8.1
11.03.2020;10.0;9.7;10.0
12.03.2020;8.3;8.1;8.3
13.03.2020;5.7;5.5;5.6
14.03.2020;4.2;4.4;4.3
15.03.2020;8.8;9.7;9.3
16.03.2020;9.6;9.2;9.7
17.03.2020;8.4;8.0;9.0
18.03.2020;11.0;10.4;11.3
19.03.2020;8.2;8.0;8.2
20.03.2020;6.6;6.6;6.5
21.03.2020;4.0;4.3;3.8
22.03.2020;3.2;3.9;3.1
23.03.2020;2.7;3.0;2.7
24.03.2020;3.9;4.3;3.8
25.03.2020;5.0;5.6;5.1
26.03.2020;5.8;6.4;5.7
27.03.2020;7.6;8.4;7.3
28.03.2020;7.7;6.9;7.6
29.03.2020;3.2;3.3;3.1
30.03.2020;2.4;2.2;2.6
31.03.2020;3.2;3.3;3.4
01.04.2020;5.2;4.7;5.2
02.04.2020;7.4;7.2;7.5
03.04.2020;5.8;5.5;5.8
04.04.2020;7.1;6.7;8.0
05.04.2020;10.9;10.9;10.8
